% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 9 2025, 16:06
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
55                       10000                    5.19278775244613E-7
55                       11000                    2.033195747177992E-6
55                       12000                    5.577136335797188E-7
55                       13000                    4.5149746578569993E-7
55                       14000                    1.2064306970318341E-6
55                       15000                    6.264283437767327E-7
55                       16000                    3.9236332768090956E-7
55                       17000                    5.813276789711115E-7
55                       18000                    1.1082745197552142E-6
55                       19000                    4.003455826553209E-7
55                       20000                    3.44624362488408E-7
55                       21000                    5.753422672344024E-7
55                       22000                    7.721218986466727E-7
55                       23000                    3.750483585855873E-7
55                       24000                    3.7672025128424844E-7
55                       25000                    6.755710200700411E-7
55                       26000                    6.95432298784234E-7
55                       27000                    5.22751730652075E-7
55                       28000                    5.846163731311127E-7
55                       29000                    8.222636166447838E-7
55                       30000                    1.202562617927459E-6
55                       31000                    1.3787909723344996E-6
55                       32000                    1.0881408030248103E-6
55                       33000                    9.192165687294586E-7
55                       34000                    1.0306294643203947E-6
55                       35000                    1.6558209628251834E-6
55                       36000                    1.7374758904502934E-6
55                       37000                    1.0016454779569511E-6
55                       38000                    8.26985190552769E-7
55                       39000                    9.727100877808446E-7
55                       40000                    1.6766377224289781E-6
55                       41000                    1.4914993001640066E-6
55                       42000                    8.278894896586412E-7
55                       43000                    6.600569382400251E-7
55                       44000                    7.083331906592502E-7
55                       45000                    1.0427489428115506E-6
55                       46000                    1.722172905869868E-6
55                       47000                    1.0745041773403218E-6
55                       48000                    7.516982001718072E-7
55                       49000                    7.245382025293807E-7
55                       50000                    9.487212234164011E-7
55                       51000                    1.6453483284007784E-6
55                       52000                    1.2768454709042197E-6
55                       53000                    7.816233061202556E-7
55                       54000                    6.532161854911035E-7
55                       55000                    7.097171643695542E-7
55                       56000                    1.0195057701157143E-6
55                       57000                    1.6996724049007705E-6
55                       58000                    1.1767372463285436E-6
55                       59000                    7.887448587275788E-7
55                       60000                    7.049860517331722E-7
55                       61000                    8.171876725644539E-7
55                       62000                    1.2673947989117553E-6
55                       63000                    1.6962331427913716E-6
55                       64000                    9.84510281097086E-7
55                       65000                    6.984953579807422E-7
55                       66000                    6.436829527677183E-7
55                       67000                    7.500575295445215E-7
55                       68000                    1.1078692178821726E-6
55                       69000                    1.3172928949476098E-6
55                       70000                    8.286513996702003E-7
55                       71000                    5.995447594530076E-7
55                       72000                    5.40517593565363E-7
55                       73000                    5.941886565675848E-7
55                       74000                    8.045227126290576E-7
55                       75000                    1.2135781129603635E-6
55                       76000                    1.0396264258415016E-6
55                       77000                    7.153043609056847E-7
55                       78000                    6.015279431101744E-7
55                       79000                    6.191663245329807E-7
55                       80000                    7.777019610732651E-7
55                       81000                    1.135300081031797E-6
55                       82000                    1.1537288370420947E-6
55                       83000                    7.945683266838085E-7
55                       84000                    6.252973974098103E-7
55                       85000                    5.887787573975183E-7
55                       86000                    6.543433455343815E-7
55                       87000                    8.625649514061748E-7
55                       88000                    1.2929779420357323E-6
55                       89000                    1.39963007688189E-6
55                       90000                    1.0168307487557875E-6
55                       91000                    8.217851884336121E-7
55                       92000                    7.936879617256447E-7
55                       93000                    9.166637774450853E-7
55                       94000                    1.2857190991025274E-6
55                       95000                    1.8521035460387259E-6
55                       96000                    1.440743881935635E-6
55                       97000                    9.991103833021836E-7
55                       98000                    8.386272404825907E-7
55                       99000                    8.4326983930478E-7
55                       100000                   1.0100847274217538E-6
56                       10000                    5.124673866008995E-7
56                       11000                    1.936360804513719E-6
56                       12000                    5.734356475576075E-7
56                       13000                    4.56934318368424E-7
56                       14000                    1.2145471740635734E-6
56                       15000                    6.202570603402992E-7
56                       16000                    3.8488354436481167E-7
56                       17000                    5.550612777129833E-7
56                       18000                    1.1716312907509916E-6
56                       19000                    4.122223064766296E-7
56                       20000                    3.4836244880460064E-7
56                       21000                    5.737232077245502E-7
56                       22000                    7.800182382109793E-7
56                       23000                    3.742812014532262E-7
56                       24000                    3.709883204423791E-7
56                       25000                    6.596225226525311E-7
56                       26000                    7.112474104513775E-7
56                       27000                    5.269549736188023E-7
56                       28000                    5.803915695215726E-7
56                       29000                    8.044333498643309E-7
56                       30000                    1.1730675341929757E-6
56                       31000                    1.3983774351643513E-6
56                       32000                    1.1264428522488805E-6
56                       33000                    9.437017494959547E-7
56                       34000                    1.0489950856462795E-6
56                       35000                    1.6746408968669017E-6
56                       36000                    1.7244282831818088E-6
56                       37000                    9.845840224588421E-7
