% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 10 2025, 10:00
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
55                       10000                    2.278684247233221E-6
55                       11000                    6.081157793567394E-7
55                       12000                    5.38494701576245E-7
55                       13000                    2.1347506436141206E-6
55                       14000                    5.276471552368347E-7
55                       15000                    4.637220485796459E-7
55                       16000                    1.3476182117070973E-6
55                       17000                    5.470758710412694E-7
55                       18000                    3.653454856753492E-7
55                       19000                    5.518739388996274E-7
55                       20000                    9.456584095796899E-7
55                       21000                    3.6273381074645273E-7
55                       22000                    3.281969382929214E-7
55                       23000                    6.0629606855951E-7
55                       24000                    5.712423214652918E-7
55                       25000                    3.531958547806687E-7
55                       26000                    4.158317012738405E-7
55                       27000                    7.567157928198773E-7
55                       28000                    9.920188628811707E-7
55                       29000                    8.335768045732987E-7
55                       30000                    8.196693348860766E-7
55                       31000                    9.46587984030427E-7
55                       32000                    1.3758147468487365E-6
55                       33000                    1.6270758744737034E-6
55                       34000                    1.049704041037427E-6
55                       35000                    8.880308036602093E-7
55                       36000                    1.1105125815133752E-6
55                       37000                    2.0245054547047428E-6
55                       38000                    1.3680867529013497E-6
55                       39000                    8.697902202500677E-7
55                       40000                    8.358041053988516E-7
55                       41000                    1.2071454632138105E-6
55                       42000                    2.133904747807506E-6
55                       43000                    1.1141350451292013E-6
55                       44000                    7.71002545860169E-7
55                       45000                    7.870361813684932E-7
55                       46000                    1.196284762500747E-6
55                       47000                    1.868682503711011E-6
55                       48000                    9.704807937812381E-7
55                       49000                    7.027976851494856E-7
55                       50000                    7.325243398454289E-7
55                       51000                    1.1191341942936902E-6
55                       52000                    1.8035994112688566E-6
55                       53000                    9.526456020770317E-7
55                       54000                    6.848256664387258E-7
55                       55000                    7.05765120312124E-7
55                       56000                    1.0472110232952733E-6
55                       57000                    1.6284055323668945E-6
55                       58000                    9.347493842207323E-7
55                       59000                    7.016452811169303E-7
55                       60000                    7.979197164172276E-7
55                       61000                    1.5370273311134552E-6
55                       62000                    1.0736674725386119E-6
55                       63000                    5.997603550881805E-7
55                       64000                    6.624107549616947E-7
55                       65000                    4.4574002469710886E-7
55                       66000                    2.974032247984552E-7
55                       67000                    4.0620672301690673E-7
55                       68000                    9.582808876608299E-8
55                       69000                    7.580583956059001E-7
55                       70000                    5.495051478417937E-7
55                       71000                    7.692467092031839E-7
55                       72000                    8.142151981468728E-7
55                       73000                    4.3456061499611704E-7
55                       74000                    9.311089599400216E-7
55                       75000                    6.407638208591189E-7
55                       76000                    7.049901853728285E-7
55                       77000                    1.1653307881519397E-6
55                       78000                    1.1747548885199586E-6
55                       79000                    7.042509303063513E-7
55                       80000                    5.476751483429733E-7
55                       81000                    6.59838598950445E-7
55                       82000                    1.0022394819442985E-6
55                       83000                    1.5042292562183661E-6
55                       84000                    9.917908767290604E-7
55                       85000                    7.164017575965816E-7
55                       86000                    8.29560264507338E-7
55                       87000                    1.1383369573220765E-6
55                       88000                    1.6481384965189083E-6
55                       89000                    1.1746509436521702E-6
55                       90000                    8.284212872475372E-7
55                       91000                    7.684221703552541E-7
55                       92000                    9.583034266674744E-7
55                       93000                    1.5742523296089638E-6
55                       94000                    1.5349421105888384E-6
55                       95000                    9.044681779436771E-7
55                       96000                    8.630768376626954E-7
55                       97000                    1.219704120147351E-6
55                       98000                    1.292939840840868E-6
55                       99000                    8.234526117303356E-7
55                       100000                   1.5940691219432138E-6
56                       10000                    2.2797226587249194E-6
56                       11000                    6.092248993564145E-7
56                       12000                    5.4301809423815E-7
56                       13000                    2.1593457476538263E-6
56                       14000                    5.230770191508321E-7
56                       15000                    4.6330897688563354E-7
56                       16000                    1.3550824856364E-6
56                       17000                    5.447175191943492E-7
56                       18000                    3.661594235067527E-7
56                       19000                    5.580249466621632E-7
56                       20000                    9.350076331934469E-7
56                       21000                    3.6144890936678264E-7
56                       22000                    3.2939426042286326E-7
56                       23000                    6.137605776144667E-7
56                       24000                    5.633305401581609E-7
56                       25000                    3.511655204862283E-7
56                       26000                    4.156749448693577E-7
56                       27000                    7.586117735240247E-7
56                       28000                    9.896205763736945E-7
56                       29000                    8.341555640543974E-7
56                       30000                    8.23872235459934E-7
56                       31000                    9.559607830787658E-7
56                       32000                    1.393360863080699E-6
56                       33000                    1.6072400036450205E-6
56                       34000                    1.0359210640078504E-6
56                       35000                    8.82379244710368E-7
56                       36000                    1.1099336981556565E-6
56                       37000                    2.029304330380722E-6
56                       38000                    1.3645139928713917E-6
56                       39000                    8.724229157488466E-7
56                       40000                    8.441220361870365E-7
56                       41000                    1.2326440972531005E-6
56                       42000                    2.1255133737314607E-6
56                       43000                    1.092797511623861E-6
56                       44000                    7.64359414216573E-7
56                       45000                    7.863380969677966E-7
56                       46000                    1.2054567611166495E-6
56                       47000                    1.8642784631989934E-6
56                       48000                    9.66882380429701E-7
56                       49000                    7.057904619390727E-7
56                       50000                    7.425309240948364E-7
56                       51000                    1.1496891728942272E-6
56                       52000                    1.7692661005947175E-6
56                       53000                    9.275257428457313E-7
56                       54000                    6.756661233725554E-7
56                       55000                    7.023899334481305E-7
56                       56000                    1.0533379906461416E-6
56                       57000                    1.6655351164361865E-6
56                       58000                    9.457171836982003E-7
56                       59000                    7.119695763042844E-7
56                       60000                    8.190486896717357E-7
56                       61000                    1.5804071667220972E-6
56                       62000                    9.643123979772666E-7
56                       63000                    5.891799907897386E-7
56                       64000                    6.511890855496048E-7
56                       65000                    5.377612559606599E-7
56                       66000                    1.2618417511537493E-7
56                       67000                    1.8882744712715921E-7
56                       68000                    2.280064170333428E-7
56                       69000                    7.697782655421515E-7
56                       70000                    3.400585113967422E-7
56                       71000                    7.388189422552324E-7
56                       72000                    9.929216981820028E-7
56                       73000                    7.25072553850719E-7
56                       74000                    9.540083823526717E-7
56                       75000                    6.241265019534082E-7
56                       76000                    6.907558859406199E-7
56                       77000                    1.0772635835538138E-6
56                       78000                    1.1496910608415033E-6
56                       79000                    7.044010782058408E-7
56                       80000                    6.019990512159988E-7
56                       81000                    6.799554162744478E-7
56                       82000                    1.0494168565424103E-6
56                       83000                    1.5377269795665575E-6
56                       84000                    9.898026264163443E-7
56                       85000                    7.924307668588798E-7
56                       86000                    7.975971954106303E-7
56                       87000                    1.1227431485501014E-6
56                       88000                    1.585263241927555E-6
56                       89000                    1.2059148311800505E-6
56                       90000                    8.585295913741378E-7
56                       91000                    8.042816401404955E-7
56                       92000                    1.028868618438488E-6
56                       93000                    1.775928080263374E-6
56                       94000                    1.29429095250356E-6
56                       95000                    8.525585307233398E-7
56                       96000                    8.038886179979312E-7
56                       97000                    1.1249863077974515E-6
56                       98000                    1.4877729029550937E-6
56                       99000                    8.775338144463554E-7
56                       100000                   1.3361460622911407E-6
57                       10000                    2.282920955838309E-6
57                       11000                    6.10438383569801E-7
57                       12000                    5.482128772870894E-7
57                       13000                    2.1788167220500237E-6
57                       14000                    5.17500793076708E-7
57                       15000                    4.6236238064678665E-7
57                       16000                    1.3614516866048561E-6
57                       17000                    5.427065675332218E-7
57                       18000                    3.6754210795504774E-7
57                       19000                    5.668401131679784E-7
57                       20000                    9.169336129927697E-7
57                       21000                    3.586736042552725E-7
57                       22000                    3.298105807313095E-7
57                       23000                    6.203983411006388E-7
57                       24000                    5.549701777671814E-7
57                       25000                    3.49371013093067E-7
57                       26000                    4.16716311877726E-7
57                       27000                    7.638502687266551E-7
57                       28000                    9.812781376411443E-7
57                       29000                    8.297339343360916E-7
57                       30000                    8.257058869338699E-7
57                       31000                    9.649022383551265E-7
57                       32000                    1.4104750747676356E-6
57                       33000                    1.581592897964943E-6
57                       34000                    1.0212997654794767E-6
57                       35000                    8.779609169968952E-7
57                       36000                    1.1141191163223563E-6
57                       37000                    2.0411787347294696E-6
57                       38000                    1.3535184541218422E-6
57                       39000                    8.736776924696513E-7
57                       40000                    8.543245271423912E-7
57                       41000                    1.2672413740007762E-6
57                       42000                    2.0987088647973874E-6
57                       43000                    1.0643494893858351E-6
57                       44000                    7.567681195494142E-7
57                       45000                    7.889147065895813E-7
57                       46000                    1.2294895161037255E-6
57                       47000                    1.8435255969452626E-6
57                       48000                    9.519221812429822E-7
57                       49000                    7.050117310681383E-7
57                       50000                    7.52778377019066E-7
57                       51000                    1.1878052250405706E-6
57                       52000                    1.7139351452338121E-6
57                       53000                    8.983169132026092E-7
57                       54000                    6.683004453756811E-7
57                       55000                    7.077228599235861E-7
57                       56000                    1.0910714165215579E-6
57                       57000                    1.6787977422091724E-6
57                       58000                    9.195665153849351E-7
57                       59000                    7.017448136234953E-7
57                       60000                    8.189691376930902E-7
57                       61000                    1.5444641291372458E-6
57                       62000                    9.868589951141168E-7
57                       63000                    6.073201206717425E-7
57                       64000                    6.890794104733549E-7
57                       65000                    6.156382009125304E-7
57                       66000                    1.7548600433078304E-7
57                       67000                    8.051763771661698E-9
57                       68000                    1.2329454558295662E-6
57                       69000                    7.663935063199446E-7
57                       70000                    7.232657732354312E-8
57                       71000                    6.508727103864867E-7
57                       72000                    7.122076396953382E-8
57                       73000                    8.80387204367227E-7
57                       74000                    9.455678845136903E-7
57                       75000                    6.096348581712689E-7
57                       76000                    6.538954279526821E-7
57                       77000                    1.074307526666373E-6
57                       78000                    1.1308641230835111E-6
57                       79000                    7.48370884801479E-7
57                       80000                    6.257417402092218E-7
57                       81000                    7.17865946612687E-7
57                       82000                    1.1408648955349722E-6
57                       83000                    1.5545824092365606E-6
57                       84000                    9.41497807022122E-7
57                       85000                    7.256983461607071E-7
57                       86000                    7.482752728000581E-7
57                       87000                    1.0289866479090681E-6
57                       88000                    1.5545650280298061E-6
57                       89000                    1.2831872659849294E-6
57                       90000                    9.006986494307152E-7
57                       91000                    8.582500628425568E-7
57                       92000                    1.1299220836070108E-6
57                       93000                    1.851080762976296E-6
57                       94000                    1.1739008290310629E-6
57                       95000                    7.918331029126102E-7
57                       96000                    8.019989689023382E-7
57                       97000                    1.4398666827268504E-6
57                       98000                    1.0876179041908381E-6
57                       99000                    1.0077215824949006E-6
57                       100000                   7.972563597073942E-7
58                       10000                    2.2886972238966737E-6
58                       11000                    6.118352877648787E-7
58                       12000                    5.539029024609537E-7
58                       13000                    2.19010919027992E-6
58                       14000                    5.117450239869927E-7
58                       15000                    4.612121481539914E-7
58                       16000                    1.3667710594108588E-6
58                       17000                    5.42167885719374E-7
58                       18000                    3.6982588198303024E-7
58                       19000                    5.778692755981637E-7
58                       20000                    8.973260206650619E-7
58                       21000                    3.557180873034263E-7
58                       22000                    3.299588305954818E-7
58                       23000                    6.25779692950775E-7
58                       24000                    5.505744585357173E-7
58                       25000                    3.4944059444861646E-7
58                       26000                    4.1972826545679467E-7
58                       27000                    7.723928190272613E-7
58                       28000                    9.76177841815294E-7
58                       29000                    8.265327236986757E-7
58                       30000                    8.268978663025773E-7
58                       31000                    9.72924644152106E-7
58                       32000                    1.4305334363743147E-6
58                       33000                    1.5627387380395742E-6
58                       34000                    1.0087189187951016E-6
58                       35000                    8.750261658889317E-7
58                       36000                    1.1217873117978873E-6
58                       37000                    2.0623392906283605E-6
58                       38000                    1.3407571253254683E-6
58                       39000                    8.739089277709118E-7
58                       40000                    8.640024884355805E-7
58                       41000                    1.3020200652602858E-6
58                       42000                    2.0660800134152298E-6
58                       43000                    1.0388006573900935E-6
58                       44000                    7.500906090267359E-7
58                       45000                    7.917773884402275E-7
58                       46000                    1.2535123215346316E-6
58                       47000                    1.8286250645953727E-6
58                       48000                    9.410920585099714E-7
58                       49000                    7.056554127679244E-7
58                       50000                    7.629342825689477E-7
58                       51000                    1.221816636441968E-6
58                       52000                    1.6723481426393688E-6
58                       53000                    8.815407173608466E-7
58                       54000                    6.674286461737889E-7
58                       55000                    7.187978578566965E-7
58                       56000                    1.138090272544237E-6
58                       57000                    1.6737863293197728E-6
58                       58000                    8.934398215847539E-7
58                       59000                    6.906781762028675E-7
58                       60000                    8.130144584747887E-7
58                       61000                    1.5135993650504922E-6
58                       62000                    1.0049618611031353E-6
58                       63000                    6.301596383779136E-7
58                       64000                    7.403641500399708E-7
58                       65000                    9.682833379755174E-7
58                       66000                    1.8490171517435982E-7
58                       67000                    1.2174524954066128E-7
58                       68000                    9.149848779587072E-7
58                       69000                    6.503981012622663E-7
58                       70000                    4.736370017350111E-7
58                       71000                    6.45620837435853E-7
58                       72000                    2.671511229277533E-7
58                       73000                    1.0192418596623616E-6
58                       74000                    7.748488360770228E-7
58                       75000                    5.771594315406791E-7
58                       76000                    6.196045067839578E-7
58                       77000                    1.0509633432430202E-6
58                       78000                    1.1413626010303282E-6
58                       79000                    7.909160578057222E-7
58                       80000                    6.59227537942323E-7
58                       81000                    7.612074457989006E-7
58                       82000                    1.2276886329254934E-6
58                       83000                    1.3467182174180189E-6
58                       84000                    8.778146586086489E-7
58                       85000                    6.969966444206663E-7
58                       86000                    7.355320695803997E-7
58                       87000                    1.0038277116901689E-6
58                       88000                    1.597412609148623E-6
58                       89000                    1.2754559317909363E-6
58                       90000                    9.255867784394378E-7
58                       91000                    9.109564541139008E-7
58                       92000                    1.2297058742454212E-6
58                       93000                    1.8132058304585498E-6
58                       94000                    1.1168509425537969E-6
58                       95000                    7.740120354438731E-7
58                       96000                    7.716628837415697E-7
58                       97000                    1.0728153618407143E-6
58                       98000                    1.3757064313981783E-6
